date,market_score,market_label,sp500_price,sp500_change_pct,nasdaq_change_pct,dow_change_pct,russell_change_pct,vix,fear_greed,sectors_above_200sma,sectors_total,advancers,decliners,new_highs,new_lows,pct_above_sma20,pct_above_sma50,pct_above_sma200
2026-08-03,72,Bullish,7489.72021484375,0.7,1.002,0.531,-0.501,15.99,42.0,8,11,,,,,,,
2026-08-03,72,Bullish,7489.72021484375,0.7,1.002,0.531,-0.501,15.99,42.0,8,11,,,,,,,
2026-08-03,71,Bullish,7489.72021484375,0.7,1.002,0.531,-0.501,15.99,42.0,8,11,223.0,279.0,4.0,3.0,53.7,62.4,68.0
2026-08-03,72,Bullish,7489.72021484375,0.7,1.002,0.531,-0.501,15.99,42.0,8,11,,,,,,,
2026-08-03,69,Bullish,7489.72021484375,0.7,1.002,0.531,-0.501,15.99,42.0,8,11,52.0,50.0,2.0,0.0,56.9,52.0,60.8
2026-08-03,69,Bullish,7489.72021484375,0.7,1.002,0.531,-0.501,15.99,42.0,8,11,52.0,50.0,2.0,0.0,56.9,52.0,60.8
2026-08-04,75,Bullish,7736.52001953125,1.79,2.59,1.706,1.847,16.5,65.0,9,11,81.0,21.0,5.0,0.0,69.6,60.8,66.7
2026-08-05,77,Bullish,7723.5498046875,-0.168,-0.833,0.487,-0.586,15.81,67.0,9,11,41.0,61.0,3.0,0.0,65.7,57.8,68.6
2026-08-07,79,Bullish,7757.64013671875,0.618,1.299,0.282,1.098,14.9,72.0,9,11,75.0,26.0,6.0,0.0,72.5,56.9,69.6
2026-08-08,79,Bullish,7757.64013671875,0.618,1.299,0.282,1.097,14.9,72.0,9,11,75.0,26.0,6.0,0.0,72.5,56.9,69.6
2026-08-09,75,Bullish,7757.64013671875,0.618,1.299,0.282,1.097,14.9,,9,11,75.0,26.0,6.0,0.0,72.5,56.9,69.6
2026-08-10,78,Bullish,7753.10986328125,-0.058,-0.319,-0.113,-0.563,15.46,70.0,9,11,51.0,49.0,8.0,0.0,68.6,62.7,67.6
2026-08-11,78,Bullish,7728.2001953125,-0.321,-0.601,-0.341,0.322,15.28,70.0,9,11,53.0,48.0,5.0,1.0,67.6,57.8,65.7
2026-08-12,74,Bullish,7748.5,0.263,0.541,-0.04,0.607,14.55,,9,11,45.0,56.0,4.0,1.0,68.6,58.8,63.7
2026-08-13,80,Bullish,7798.990234375,0.652,0.807,0.13,0.242,14.63,74.0,9,11,73.0,27.0,7.0,0.0,70.6,63.7,70.6
2026-08-14,81,Bullish,7785.759765625,-0.17,-0.276,-0.2,0.51,14.25,74.0,9,11,44.0,56.0,1.0,0.0,70.6,66.7,70.6
2026-08-15,81,Bullish,7785.759765625,-0.17,-0.276,-0.2,0.51,14.25,74.0,9,11,45.0,55.0,0.0,0.0,70.3,67.3,70.3
2026-08-16,81,Bullish,7785.759765625,-0.17,-0.276,-0.2,0.51,14.25,74.0,9,11,45.0,55.0,0.0,0.0,70.3,66.3,69.3
2026-08-17,77,Bullish,7745.06005859375,-0.523,-0.315,-0.507,-0.355,15.19,70.0,9,11,32.0,69.0,1.0,1.0,63.4,58.4,65.3
2026-08-18,75,Bullish,7691.759765625,-0.688,-1.333,-0.218,-1.297,15.84,65.0,8,11,52.0,49.0,2.0,0.0,56.4,59.4,66.3
2026-08-19,78,Bullish,7707.97998046875,0.211,0.157,0.224,0.499,14.89,69.0,9,11,61.0,39.0,4.0,0.0,60.4,61.4,70.3
2026-08-20,75,Bullish,7641.16015625,-0.867,-1.002,-1.316,-1.336,16.01,63.0,8,11,33.0,68.0,0.0,0.0,51.5,56.4,67.3
2026-08-21,77,Bullish,7674.3701171875,0.435,0.435,0.981,0.85,15.13,67.0,9,11,66.0,34.0,2.0,0.0,52.5,56.4,67.3
2026-08-22,77,Bullish,7674.3701171875,0.435,0.435,0.981,0.85,15.13,67.0,9,11,67.0,33.0,2.0,0.0,52.5,56.4,67.3
2026-08-23,77,Bullish,7674.3701171875,0.435,0.435,0.981,0.85,15.13,67.0,9,11,67.0,33.0,2.0,0.0,52.5,56.4,67.3
2026-08-24,75,Bullish,7652.85986328125,-0.28,-0.765,0.263,-0.755,15.85,62.0,9,11,49.0,52.0,2.0,1.0,54.5,56.4,66.3
2026-08-25,76,Bullish,7677.27978515625,0.319,0.659,0.3,0.499,15.45,62.0,9,11,49.0,52.0,2.0,0.0,53.5,56.4,68.3
2026-08-26,75,Bullish,7670.31005859375,-0.091,-0.351,-0.248,0.065,15.47,60.0,9,11,40.0,60.0,0.0,0.0,56.4,54.5,66.3
